TrainStationId,Name,Description,CountryId
1,Abada,Abada,-10
2,Argora,Argora,-10
3,Abhaipur,Abhaipur,-10
4,Abhayapuri,Abhayapuri,-10
5,Babarpur,Babarpur,-10
6,Babatpur,Babatpur,-10
7,Babhnan,Babhnan,-10
8,Babina,Babina,-10
9,Calicut,Calicut,-10
10,Canacona,Canacona,-10
11,Cannanore,Cannanore,-10
12,Chabua,Chabua,-10
13,Dabla,Dabla,-10
14,Dabli Rathan,Dabli Rathan,-10
15,Dabolim,Dabolim,-10
16,Dabra,Dabra,-10
17,Ekangarsarai,Ekangarsarai,-10
18,Ekma,Ekma,-10
19,Elamanchili,Elamanchili,-10
20,Eluru,Eluru,-10
21,Faizabad Junction,Faizabad Junction,-10
22,Faizullapur,Faizullapur,-10
23,Falakata,Falakata,-10
24,Falna,Falna,-10
25,Gachhipura,Gachhipura,-10
26,Gadag Junction,Gadag Junction,-10
27,Gadarwara,Gadarwara,-10
28,Gadhakda,Gadhakda,-10
29,Habibganj,Habibganj,-10
30,Habibwala,Habibwala,-10
31,Hadapsar,Hadapsar,-10
32,Hadmadiya,Hadmadiya,-10
33,Ichapuram,Ichapuram,-10
34,Ichauli,Ichauli,-10
35,Idar,Idar,-10
36,Jabalpur,Jabalpur,-10
37,Jabri,Jabri,-10
38,Jagnath Road Halt,Jagnath Road Halt,-10
39,Jagraon,Jagraon,-10
40,Kadalundi,Kadalundi,-10
41,Kadambur,Kadambur,-10
42,Kadaynallur,Kadaynallur,-10
43,Kadur Junction,Kadur Junction,-10
44,Labhpur,Labhpur,-10
45,Lachhipura,Lachhipura,-10
46,Lachhmanpur,Lachhmanpur,-10
47,Lachyan,Lachyan,-10
48,Macharya,Macharya,-10
49,Madan Mahal,Madan Mahal,-10
50,Madanpur,Madanpur,-10
51,Maddur,Maddur,-10
52,Naya Ghaziabad,Naya Ghaziabad,-10
53,Nabadwip Dham,Nabadwip Dham,-10
54,Nabha,Nabha,-10
55,Nadikudi,Obra,-10
56,Ongole,Ongole,-10
57,Orai,Orai,-10
58,Ottapalam,Ottapalam,-10
59,Ooragaum,Ooragaum,-10
60,Pabai,Pabai,-10
61,Pabli Khas,Pabli Khas,-10
62,Pachrukhi,Pachrukhi,-10
63,Pachhapur,Pachhapur,-10
64,Purna Junction,Purna Junction,-10
65,Puranigudam,Puranigudam,-10
66,Purab Sarai,Purab Sarai,-10
67,Quarry SDG,Quarry SDG,-10
68,Rabale,Rabale,-10
69,Radhanpur,Radhanpur,-10
70,Radhikapur,Radhikapur,-10
71,Rae Bareli Junction,Rae Bareli Junction,-10
72,Sabalgarh,Sabalgarh,-10
73,Sabaur,Sabaur,-10
74,Sadar Bazaar,Sadar Bazaar,-10
75,Sadhoo Garh,Sadhoo Garh,-10
76,Tadali,Tadali,-10
77,Tadepalligudem,Tadepalligudem,-10
78,Tadipatri,Tadipatri,-10
79,Tahsil Bhadra,Tahsil Bhadra,-10
80,Uchana,Uchana,-10
81,Udhampur,Udhampur,-10
82,Udaipur City,Udaipur City,-10
83,Udalguri,Udalguri,-10
84,Vadali,Vadali,-10
85,Vadgaon,Vadgaon,-10
86,Vadnagar,Vadnagar,-10
87,Vadodara Junction,Vadodara Junction,-10
88,Wadakanchery,Wadakanchery,-10
89,Wadala Road,Wadala Road,-10
90,Wadhwan City,Wadhwan City,-10
91,Wadi Junction,Wadi Junction,-10
92,Yadgir,Yadgir,-10
93,Yamuna,Yamuna,-10
94,Yedakumeri,Yedakumeri,-10
95,Yelahanka Junction,Yelahanka Junction,-10
96,Yeola,Yeola,-10
97,Yerraguntla,Yerraguntla,-10
98,Yesvantpur Junction,Yesvantpur Junction,-10
99,Yusufpur,Yusufpur,-10
100,Zafarabad Junction,Zafarabad Junction,-10
101,Zahirabad,Zahirabad,-10
102,Zamania,Zamania,-10
103,Zampini,Zampini,-10
104,Zawar,Zawar,-10