"NameSort","NameLine1","AddressCountry","AddressLine1","AddressState","AddressCity","NameSalutation","_Calendar"
"ONEX","ONECHICAGO, LLC.","","","","","","CBO"
"XADE","Athens Derivatives Exchange S.A., The","","","","","","AtX"
"XAMS","Euronext (Amsterdam) trading holidays","","","","","","AmX"
"XASE","American Stock Exchange","US","","","","","AmQ"
"XASX","Australian Stock Exchange","","","","","","SyX"
"XATH","Athens Stock Exchange trading holidays","","","","","","AtX"
"XBMF","Bolsa de Mercadorias y Futuros","","","","","","SPF"
"XBRU","Euronext (Brussels)","","","","","","BrX"
"XCBO-EQ","Chicago Board Options Exchange - Equity Contracts","US","","","","","CBO"
"XCBO-IR","Chicago Board Options Exchange - Interest Rate Contracts","US","","","","","CBP"
"XCBT-AGR","Chicago Board of Trade - Agricultural Contracts","US","","","","","MAS"
"TU","Chicago Board of Trade - Financial Contracts","US","","","","","CBT"
"XCBT-MTL","Chicago Board of Trade - Metals Contracts","US","","","","","MAR"
"XCBT-STI","Chicago Board of Trade - Stock index Contracts","US","","","","","CBV"
"XCEC","Commodities Exchange Center","US","","","","","NYM"
"XCME-AGR","Chicago Mercantile Exchange - Agricultural Contracts","US","","","","","CMH"
"XCME-CUR","Chicago Mercantile Exchange - Currency Contracts","","","","","","CMG"
"XCME-EQ","Chicago Mercantile Exchange - Equity Contracts","US","","","","","CMF"
"XCME-IR","Chicago Mercantile Exchange - Interest Rate Contracts","US","","","","","CME"
"XCSC","Coffee Sugar and Cocoa Exchange","US","","","","","CSF"
"XCSE","Copenhagen Stock Exchange","","","","","","CoX"
"XDWZ","Deutsche Borse","","","","","","FrX"
"XEUR-CH","Eurex - Swiss Non-CONF Contracts","","","","","","SOK"
"XEUR-CON","Eurex - CONF Contracts","","","","","","SOO"
"XEUR-DK","Eurex - Dutch Contacts","","","","","","SOG"
"XEUR-EU","Eurex - Euribor Contracts","","","","","","SOL"
"XEUR-FR","Eurex - French Contracts","","","","","","SOI"
"XEUR-GEQ","Eurex - German Equity Contracts","","","","","","SOM"
"XEUR-GFI","Eurex - German Fixed Income Contracts","","","","","","SOF"
"XEUR-IT","Eurex - Italian Contracts","","","","","","SOJ"
"XEUR-STX","Eurex - STOXX Contracts","","","","","","SON"
"XHEL","Helsinki Exchanges","","","","","","HeX"
"XHKF","Hong Kong Futures Exchange","","","","","","HKF"
"XHKG","Hong Kong Stock Exchange","","","","","","HKX"
"XJAS","JASDAQ","","","","","","JdX"
"XJSE","Johannesburg Stock Exchange","","","","","","JoX"
"XKLS","Kuala Lumpur Stock Exchange","","","","","","KLS"
"XLOF","Malaysia Derivatives Exchange BHD","","","","","","KLX"
"XKOR","Korea Stock Exchange","","","","","","SeX"
"XLIF-NUK","Euronext.liffe - Non UK Contracts","","","","","","MAT"
"XLIF-UK","Euronext.liffe - UK Financial Contracts","","","","","","LIF"
"XLIS","Euronext (Lisbon)","","","","","","LsX"
"XLME","London Metal Exchange","","","","","","LME"
"XLON","London Stock Exchange","","","","","","LnX"
"XMCE","Mercado Continuo (SIBE)","","","","","","MdX"
"XMEF","MEFF","","","","","","MEF"
"XMIL","Borsa Italiana (Milan)","","","","","","MiX"
"XMOD-EQ","Bourse De Montreal - Equity and Index Contracts","","","","","","MoT"
"XMOD-IR","Bourse De Montreal - Interest Rate Contracts","","","","","","MoS"
"XMON","Euronext (Paris - Monep)","","","","","","PaX"
"XNAS","NASDAQ","US","","","","","Ndq"
"XNYC","New York Cotton Exchange","US","","","","","NYF"
"ZP","New York Mercantile Exchange","US","","","","","NYM"
"XNYS","New York Stock Exchange","US","","","","","NYX"
"XOME","Stockholmsborsen","","","","","","StX"
"XOSE","Osaka Securities Exchange","","","","","","OkX"
"XPHL","Philadelphia Stock Exchange","US","","","","","PhS"
"XSAF","South African Futures Exchange","","","","","","JoX"
"XSES-EQ","Singapore Exchange - Stock Market","","","","","","SiX"
"XSES-EUR","Singapore Exchange - Eurodollar Derivatives","","","","","","SIN"
"XSES-SNG","Singapore Exchange - Singapore Derivatives","","","","","","SIO"
"XSES-TWN","Singapore Exchange - Taiwanese Derivatives","","","","","","SIP"
"XSFE","Sydney Futures Exchange","","","","","","SyF"
"XSWX","Swiss Exchange","","","","","","ZuX"
"XTFF","Tokyo International Financial Futures Exchange","","","","","","TkF"
"XTKS","Tokyo Stock Exchange","","","","","","TkX"
"XTSE","Toronto Stock Exchange","","","","","","TrX"
"OTC-NZ","Auckland bank holidays","","","","","","AuB"
"OTC-DK","Copenhagen bank holidays","","","","","","CoB"
"OTC-HK","Hong Kong bank holidays","","","","","","HKB"
"OTC-GB","London bank holidays","","","","","","LnB"
"OTC-US","New York bank holidays","US","","","","","NYB"
"OTC-SE","Stockholm bank holidays","","","","","","StB"
"OTC-AU","Sydney bank holidays","","","","","","SyB"
"OTC-JP","Tokyo bank holidays","","","","","","TkB"
"OTC-CA","Toronto bank holidays","","","","","","TrB"
"OTC-CH","Zurich bank holidays","","","","","","ZuB"
"OTC-NO","Oslo bank holidays","","","","","","OsB"
"XVTX","VIRT-X","","","","","","LnX"
"XMAD","Madrid Stock Exchange","","","","","","MdX"
"OTC-EU","OTC for Europe","","","","","","LnX"
"XETR","DEUTSCHER KASSENVEREIN AG GRUPPE DEUTSCHE BOERSE","","","","","","FrX"
"XNMS","NASDAQ N-Mkt","US","","","","","Ndq"
"DEFAULT","When no exchange has been found","","","","","","NYB"
"OTC-EU-FTSWAP","OTC for Europe","","","","","","FTSWAP"
"OTC-KO","South Korea bank holidays","","","","","","NYB"
"OTC-SG","Singapore bank holidays","","","","","","NYB"
"OTC-PL","Poland bank holidays","","","","","","NYB"
"OTC-CZ","Czech bank holidays","","","","","","NYB"
"OTC-SA","Saudi Arabia bank holidays","","","","","","NYB"
"OTC-HU","OTC for Hungary","","","","","","LnX"
"XTSX","Toronto Stock Exchange","","","","","","TrX"
"XNGO","Tokyo Stock Exchange","","","","","","TkX"
"XFKA","Tokyo Stock Exchange","","","","","","TkX"
"OTC-EU-FTSWAP-MSCIDNK0010","OTC for Europe","","","","","","FTSWAP-MSCIDNK0010"
"OTC-EU-FTSWAP-MSCIAUT0010","OTC for Europe","","","","","","FTSWAP-MSCIAUT0010"
"OTC-EU-FTSWAP-MSCIPRT0010","OTC for Europe","","","","","","FTSWAP-MSCIPRT0010"
"OTC-EU-FTSWAP-MSCIGRC0002","OTC for Europe","","","","","","FTSWAP-MSCIGRC0002"
"OTC-EU-FTSWAP-MSCIGRC0003","OTC for Europe","","","","","","FTSWAP-MSCIGRC0003"
"OTC-EU-FTSWAP-MSCIMLY0001","OTC for Europe","","","","","","FTSWAP-MSCIMLY0001"
"OTC-EU-FTSWAP-MSCIMLY0002","OTC for Europe","","","","","","FTSWAP-MSCIMLY0002"
"XNYM","New York Mercantile Exchange","US","","","","","NYM"
"XCBT-FIN","Chicago Board of Trade - Financial Contracts","US","","","","","CBT"
"LNNY","LNNY","US","","","","","NYB"
"OTC-AT","OTC for Austria","","","","","","LnX"
"KdQ","KOSDAQ","","","","","","KdQ"
"VaS","Toronto Venture exchange","","","","","","VaS"
"OsS","OMX Oslo","","","","","","OsS"
"VrS","Virt-X","","","","","","VrS"
"PfS","NYSE Arca","","","","","","PfS"
"WeS","Wellington Stock Exchange","","","","","","WeS"
"NgS","Nagoya Stock Exchange","","","","","","NgS"
"LxS","Luxembourg Stock Exchange","","","","","","LxS"
"NYSE","New York Stock Exchange","USA","11 Wall Street","New York","New York","","usa"
"OTC-MX","OTC for Mexico","","","","","","MxB"
"OTC-BE","OTC for Belgium","","","","","","LnX"
"OTC-GR","OTC for Greece","","","","","","LnX"
"OTC-PT","OTC for Portugal","","","","","","LnX"
"OTC-CN","OTC for China","","","","","","HKX"
"OTC-IN","OTC for India","","","","","","NYB"
"OTC-MY","OTC for Malaysia","","","","","","NYB"
"OTC-RU","OTC for Russian Federation","","","","","","NYB"
"OTC-JP-TEST","Tokyo bank holidays IMM","","","","","","TkB-TES"
"IMM-AUD","IMM-AUD","","","","","","IMM-AUD"
"IMM-CAD","IMM-CAD","","","","","","IMM-CAD"
"IMM-CHF","IMM-CHF","","","","","","IMM-CHF"
"IMM-CZK","IMM-CZK","","","","","","IMM-CZK"
"IMM-DKK","IMM-DKK","","","","","","IMM-DKK"
"IMM-EUR","IMM-EUR","","","","","","IMM-EUR"
"IMM-GBP","IMM-GBP","","","","","","IMM-GBP"
"IMM-HKD","IMM-HKD","","","","","","IMM-HKD"
"IMM-HUF","IMM-HUF","","","","","","IMM-HUF"
"IMM-JPY","IMM-JPY","","","","","","IMM-JPY"
"IMM-KRW","IMM-KRW","","","","","","IMM-KRW"
"IMM-NOK","IMM-NOK","","","","","","IMM-NOK"
"IMM-NZD","IMM-NZD","","","","","","IMM-NZD"
"IMM-PLN","IMM-PLN","","","","","","IMM-PLN"
"IMM-SEK","IMM-SEK","","","","","","IMM-SEK"
"IMM-SGD","IMM-SGD","","","","","","IMM-SGD"
"IMM-USD","IMM-USD","","","","","","IMM-USD"
"IMM-ZAR","IMM-ZAR","","","","","","IMM-ZAR"
"WeekEnds","WeekEnds","","","","","","WeekEnds"
"PrB","Prague Bank Holidays","","","","","","PrB"
"BdB","Budapest Bank Holidays","","","","","","BdB"
"WaB","Warsaw Bank Holidays","","","","","","WaB"
"OTC-BR","OTC for Brazil","","","","","","NYB"
"IMM-THB","IMM-THB","","","","","","IMM-THB"
"IMM-TWD","IMM-TWD","","","","","","IMM-TWD"
"IMM-MYR","IMM-MYR","","","","","","IMM-MYR"
"IMM-ILS","IMM-ILS","","","","","","IMM-ILS"
"OTC-TW","Taiwan Stock Exchange settlement holidays","","","","","","TpX"
"OTC-TR","Istanbul Stock Exchange settlement holidays","","","","","","IsX"
"OTC-ZA","Johannesburg Stock Exchange settlement holidays","","","","","","JoX"
"OTC-KR","Korea Exchange (KOSDAQ) settlement holidays","","","","","","KdX"
"OTC-ID","Jakarta bank holidays","","","","","","JaB"
"OTC-CL","Santiago bank holidays","","","","","","SaB"
"OTC-TH","Bangkok bank holidays","","","","","","BkB"
"OTC-IL","OTC for Israel","","","","","","NYB"
"XBKK","Stock Exchange of Thailand","","","","","","BkS"
"TAS","Tel Aviv Stock Exchange","","","","","","TAS"
"MxS","Bolsa Mexicana de Valores","","","","","","MxS"
"XBOM","Bombay Stock Exchange","IN","","","","","BmS"
"XNSE","National Stock Exchange of India","IN","","","","","InS"
"XIST","Istanbul Stock Exchange","TR","","","","","IsS"
"XIDX","Bursa Efek Indonesia","ID","","","","","JaS"
"XSGO","Bolsa de Comercio de Santiago","","","","","","SaS"
"XBSP","BM&F Bovespa (stock market)","","","","","","SPS"
"XTAI","Taiwan Stock Exchange","","","","","","TpS"
"XWAR","Warsaw Stock Exchange","","","","","","WaS"
"IPE","International Petroleum Exchange","","","","","","IPE"
"NYG","New York Board of Trade  (Frozen Orange Juice contracts)","","","","","","NYG"
"TCF","Tokyo Commodities Exchange","","","","","","TCF"
"SeF","Korea Futures Exchange  (Equity index contracts)","","","","","","SeF"
"NBB","Sydney Futures Exchange","","","","","","SIO"
"TDF","Istanbul Stock Exchange settlement holidays","","","","","","IsX"
"RuS","RTS Stock Exchange","","","","","","RuS"
"SIM","Singapore Stock Exchange","","","","","","SIM"
"SEL","Singapore Stock Exchange","","","","","","SIM"
"MnS","Philippine Stock Exchange trading holidays","","","","","","MnS"
"BzS","Boston Stock Exchange trading holidays","","","","","","BzS"
"SIZ","Singapore Exchange trade date holidays (Indian derivatives)","","","","","","SIZ"
"NYH","ICE Futures US trade date holidays (Equity contracts)","","","","","","NYH"
"BMA","New York bond holidays","US","","","","","BMA"
"AyS","Kazakhstan Stock Exchange trading holidays","","","","","","AyS"
"BiS","Beirut Stock Exchange trading holidays","","","","","","BiS"
"ByS","Belgrade Stock Exchange trading holidays","","","","","","ByS"
"DkS","Dhaka Stock Exchange trading holidays","","","","","","DkS"
"HaS","Ho Chi Minh Stock Exchange trading holidays","","","","","","HaS"
"HoS","Hanoi Stock Exchange trading holidays","","","","","","HoS"
"NrS","Nairobi Stock Exchange trading holidays","","","","","","NrS"
"PLS","Stock Exchange of Mauritius trading holidays","","","","","","PLS"
"SoY","Bulgarian Stock Exchange trading holidays","","","","","","SoY"
"TuS","Bourse de Tunis trading holidays","","","","","","TuS"
"UrS","Ukrainian Exchange trading holidays","","","","","","UrS"
"AaS","Amman Stock Exchange trading holidays","","","","","","AaS"
"AdS","Abu Dhabi Securities Exchange trading holidays","","","","","","AdS"
"BAS","Mercado de Valores de Buenos Aires trading holidays","","","","","","BAS"
"BcS","Bucharest Stock Exchange trading holidays","","","","","","BcS"
"BhS","Bahrain Bourse trading holidays","","","","","","BhS"
"BoS","Bolsa de Valores de Colombia trading holidays","","","","","","BoS"
"CcS","Casablanca Stock Exchange trading holidays","","","","","","CcS"
"CmS","Colombo Stock Exchange trading holidays","","","","","","CmS"
"CrS","Egyptian Exchange trading holidays","","","","","","CrS"
"DbS","Dubai Financial Market trading holidays","","","","","","DbS"
"DFE","Nasdaq Dubai trading holidays","","","","","","DFE"
"DoS","Qatar Exchange trading holidays","","","","","","DoS"
"KaS","Karachi Stock Exchange trading holidays","","","","","","KaS"
"KuS","Kuwait Stock Exchange trading holidays","","","","","","KuS"
"KvS","PFTS Stock Exchange trading holidays","","","","","","KvS"
"LbS","Ljubljana Stock Exchange trading holidays","","","","","","LbS"
"LgS","Nigerian Stock Exchange trading holidays","","","","","","LgS"
"LmS","Bolsa de Valores de Lima trading holidays","","","","","","LmS"
"McS","Muscat Securities Market trading holidays","","","","","","McS"
"TnS","Nasdaq OMX Tallinn trading holidays","","","","","","TnS"
"VnS","Nasdaq OMX Vilnius trading holidays","","","","","","VnS"
"ZaS","Zagreb Stock Exchange trading holidays","","","","","","ZaS"
"BdS","Budapest Stock Exchange trading holidays","","","","","","BdS"
"SIU","Singapore Exchange FTSE China A50 Index Futures","","","","","","SIU"
